s       |  code       |  functions       |  Mean
1       |  LAYING       |  fBodyBodyAccJerkMag.meanFreq..       |  0.3417585745
1       |  LAYING       |  fBodyBodyAccJerkMag.std..       |  -0.984568489166667
1       |  LAYING       |  fBodyBodyGyroJerkMag.mean..       |  -0.990248702291667
1       |  LAYING       |  fBodyBodyGyroJerkMag.meanFreq..       |  0.264801505395833
1       |  LAYING       |  fBodyBodyGyroJerkMag.std..       |  -0.989492660416667
1       |  LAYING       |  fBodyBodyGyroMag.mean..       |  -0.972112972708333
1       |  LAYING       |  fBodyBodyGyroMag.meanFreq..       |  0.01856447223125
1       |  LAYING       |  fBodyBodyGyroMag.std..       |  -0.96109837875
1       |  LAYING       |  fBodyGyro.mean...X       |  -0.9864311425
1       |  LAYING       |  fBodyGyro.mean...Y       |  -0.983321635416667
1       |  LAYING       |  fBodyGyro.mean...Z       |  -0.9626718875
1       |  LAYING       |  fBodyGyro.meanFreq...X       |  0.10261131938125
1       |  LAYING       |  fBodyGyro.meanFreq...Y       |  0.04228066839375
1       |  LAYING       |  fBodyGyro.meanFreq...Z       |  0.0552985986479167
1       |  LAYING       |  fBodyGyro.std...X       |  -0.988860685833333
1       |  LAYING       |  fBodyGyro.std...Y       |  -0.981910616458333
1       |  LAYING       |  fBodyGyro.std...Z       |  -0.963174222291667
1       |  LAYING       |  tBodyAcc.mean...X       |  0.281373403958333
1       |  LAYING       |  tBodyAcc.mean...Y       |  -0.0181587397583333
1       |  LAYING       |  tBodyAcc.mean...Z       |  -0.107245610416667
1       |  LAYING       |  tBodyAcc.std...X       |  -0.974059464791667
1       |  LAYING       |  tBodyAcc.std...Y       |  -0.98027739875
1       |  LAYING       |  tBodyAcc.std...Z       |  -0.984233296875
1       |  LAYING       |  tBodyAccJerk.mean...X       |  0.0825972511666667
1       |  LAYING       |  tBodyAccJerk.mean...Y       |  0.012254788451875
1       |  LAYING       |  tBodyAccJerk.mean...Z       |  -0.00180264895625
1       |  LAYING       |  tBodyAccJerk.std...X       |  -0.98587216875
1       |  LAYING       |  tBodyAccJerk.std...Y       |  -0.98317254125
1       |  LAYING       |  tBodyAccJerk.std...Z       |  -0.988442014375
1       |  LAYING       |  tBodyAccJerkMag.mean..       |  -0.987741696041667
1       |  LAYING       |  tBodyAccJerkMag.std..       |  -0.98551807625
1       |  LAYING       |  tBodyAccMag.mean..       |  -0.977435485208333
1       |  LAYING       |  tBodyAccMag.std..       |  -0.972873912916667
1       |  LAYING       |  tBodyGyro.mean...X       |  -0.01847660675
1       |  LAYING       |  tBodyGyro.mean...Y       |  -0.111800824583333
1       |  LAYING       |  tBodyGyro.mean...Z       |  0.144882846104167
1       |  LAYING       |  tBodyGyro.std...X       |  -0.988275232916667
1       |  LAYING       |  tBodyGyro.std...Y       |  -0.982291608958333
1       |  LAYING       |  tBodyGyro.std...Z       |  -0.960306560416667
1       |  LAYING       |  tBodyGyroJerk.mean...X       |  -0.101974134208333
1       |  LAYING       |  tBodyGyroJerk.mean...Y       |  -0.0358590176083333
1       |  LAYING       |  tBodyGyroJerk.mean...Z       |  -0.0701783020833333
1       |  LAYING       |  tBodyGyroJerk.std...X       |  -0.993235849166667
1       |  LAYING       |  tBodyGyroJerk.std...Y       |  -0.989567537916667
1       |  LAYING       |  tBodyGyroJerk.std...Z       |  -0.98803582125
1       |  LAYING       |  tBodyGyroJerkMag.mean..       |  -0.991767074166667
1       |  LAYING       |  tBodyGyroJerkMag.std..       |  -0.989718095208333
1       |  LAYING       |  tBodyGyroMag.mean..       |  -0.950011569583333
1       |  LAYING       |  tBodyGyroMag.std..       |  -0.961164053958333
1       |  LAYING       |  tGravityAcc.mean...X       |  -0.509754238125
1       |  LAYING       |  tGravityAcc.mean...Y       |  0.752536639375
1       |  LAYING       |  tGravityAcc.mean...Z       |  0.646834879583333
1       |  LAYING       |  tGravityAcc.std...X       |  -0.959014441458333
1       |  LAYING       |  tGravityAcc.std...Y       |  -0.988211865208333
1       |  LAYING       |  tGravityAcc.std...Z       |  -0.984230418125
1       |  LAYING       |  tGravityAccMag.mean..       |  -0.977435485208333
1       |  LAYING       |  tGravityAccMag.std..       |  -0.972873912916667
1       |  SITTING       |  angle.X.gravityMean.       |  -0.75597571031746
1       |  SITTING       |  angle.Y.gravityMean.       |  0.0993530031587302
1       |  SITTING       |  angle.Z.gravityMean.       |  -0.115677190946032
1       |  SITTING       |  angle.tBodyAccJerkMean..gravityMean.       |  -0.0124181208603175
1       |  SITTING       |  angle.tBodyAccMean.gravity.       |  0.0260974556581111
1       |  SITTING       |  angle.tBodyGyroJerkMean.gravityMean.       |  -0.0879099909809524
1       |  SITTING       |  angle.tBodyGyroMean.gravityMean.       |  0.034794400015873
1       |  SITTING       |  fBodyAcc.mean...X       |  -0.985528168412698
1       |  SITTING       |  fBodyAcc.mean...Y       |  -0.955767063333333
1       |  SITTING       |  fBodyAcc.mean...Z       |  -0.97021103968254
1       |  SITTING       |  fBodyAcc.meanFreq...X       |  0.0772635007263492
1       |  SITTING       |  fBodyAcc.meanFreq...Y       |  0.161437481166667
1       |  SITTING       |  fBodyAcc.meanFreq...Z       |  0.0743786495888889
1       |  SITTING       |  fBodyAcc.std...X       |  -0.987299863015873
1       |  SITTING       |  fBodyAcc.std...Y       |  -0.948478940476191
1       |  SITTING       |  fBodyAcc.std...Z       |  -0.955914811111111
1       |  SITTING       |  fBodyAccJerk.mean...X       |  -0.986367400634921
1       |  SITTING       |  fBodyAccJerk.mean...Y       |  -0.97379824031746
1       |  SITTING       |  fBodyAccJerk.mean...Z       |  -0.984615598412698
1       |  SITTING       |  fBodyAccJerk.meanFreq...X       |  0.297619233014286
1       |  SITTING       |  fBodyAccJerk.meanFreq...Y       |  0.0144763583098413
1       |  SITTING       |  fBodyAccJerk.meanFreq...Z       |  0.0934741190825397
1       |  SITTING       |  fBodyAccJerk.std...X       |  -0.987887133650794
1       |  SITTING       |  fBodyAccJerk.std...Y       |  -0.977144186190476
1       |  SITTING       |  fBodyAccJerk.std...Z       |  -0.988321486031746
1       |  SITTING       |  fBodyAccMag.mean..       |  -0.961730203174603
1       |  SITTING       |  fBodyAccMag.meanFreq..       |  0.115854387668254
1       |  SITTING       |  fBodyAccMag.std..       |  -0.955299545396825
1       |  SITTING       |  fBodyBodyAccJerkMag.mean..       |  -0.981781426031746
1       |  SITTING       |  fBodyBodyAccJerkMag.meanFreq..       |  0.296210553174603
1       |  SITTING       |  fBodyBodyAccJerkMag.std..       |  -0.982326640634921
1       |  SITTING       |  fBodyBodyGyroJerkMag.mean..       |  -0.989455461904762
1       |  SITTING       |  fBodyBodyGyroJerkMag.meanFreq..       |  0.192511074615873
1       |  SITTING       |  fBodyBodyGyroJerkMag.std..       |  -0.989324498412698
1       |  SITTING       |  fBodyBodyGyroMag.mean..       |  -0.969644222698413
1       |  SITTING       |  fBodyBodyGyroMag.meanFreq..       |  -0.119568775904762
1       |  SITTING       |  fBodyBodyGyroMag.std..       |  -0.958355904920635
1       |  SITTING       |  fBodyGyro.mean...X       |  -0.980317309047619
1       |  SITTING       |  fBodyGyro.mean...Y       |  -0.981334384761905
1       |  SITTING       |  fBodyGyro.mean...Z       |  -0.957464554444444
1       |  SITTING       |  fBodyGyro.meanFreq...X       |  0.131812915238095
1       |  SITTING       |  fBodyGyro.meanFreq...Y       |  -0.253841162920635
1       |  SITTING       |  fBodyGyro.meanFreq...Z       |  0.0262926065207937
1       |  SITTING       |  fBodyGyro.std...X       |  -0.985066622063492
1       |  SITTING       |  fBodyGyro.std...Y       |  -0.974924673650794
1       |  SITTING       |  fBodyGyro.std...Z       |  -0.960801812539683
1       |  SITTING       |  tBodyAcc.mean...X       |  0.275990838888889
1       |  SITTING       |  tBodyAcc.mean...Y       |  -0.0130559706333333
1       |  SITTING       |  tBodyAcc.mean...Z       |  -0.109872476460317
1       |  SITTING       |  tBodyAcc.std...X       |  -0.98668830984127
1       |  SITTING       |  tBodyAcc.std...Y       |  -0.949019816666667
1       |  SITTING       |  tBodyAcc.std...Z       |  -0.959197317142857
1       |  SITTING       |  tBodyAccJerk.mean...X       |  0.0737447732380952
1       |  SITTING       |  tBodyAccJerk.mean...Y       |  0.00843244888126984
1       |  SITTING       |  tBodyAccJerk.mean...Z       |  0.00441147400634921
1       |  SITTING       |  tBodyAccJerk.std...X       |  -0.986477173809524
1       |  SITTING       |  tBodyAccJerk.std...Y       |  -0.974393462222222
1       |  SITTING       |  tBodyAccJerk.std...Z       |  -0.987125191428571
1       |  SITTING       |  tBodyAccJerkMag.mean..       |  -0.985004427777778
1       |  SITTING       |  tBodyAccJerkMag.std..       |  -0.982503243968254
1       |  SITTING       |  tBodyAccMag.mean..       |  -0.966884123492064
1       |  SITTING       |  tBodyAccMag.std..       |  -0.953041961904762
1       |  SITTING       |  tBodyGyro.mean...X       |  -0.0481059255555556
1       |  SITTING       |  tBodyGyro.mean...Y       |  -0.0670477260539682
1       |  SITTING       |  tBodyGyro.mean...Z       |  0.055312766968254
1       |  SITTING       |  tBodyGyro.std...X       |  -0.983871471428571
1       |  SITTING       |  tBodyGyro.std...Y       |  -0.977040625714286
1       |  SITTING       |  tBodyGyro.std...Z       |  -0.956966903650794
1       |  SITTING       |  tBodyGyroJerk.mean...X       |  -0.092292196984127
1       |  SITTING       |  tBodyGyroJerk.mean...Y       |  -0.0410880948888889
1       |  SITTING       |  tBodyGyroJerk.mean...Z       |  -0.0423168674365079
1       |  SITTING       |  tBodyGyroJerk.std...X       |  -0.988298261587302
1       |  SITTING       |  tBodyGyroJerk.std...Y       |  -0.990581594761905
1       |  SITTING       |  tBodyGyroJerk.std...Z       |  -0.984892668095238
1       |  SITTING       |  tBodyGyroJerkMag.mean..       |  -0.990359823650794
1       |  SITTING       |  tBodyGyroJerkMag.std..       |  -0.989219159206349
1       |  SITTING       |  tBodyGyroMag.mean..       |  -0.942876033650794
1       |  SITTING       |  tBodyGyroMag.std..       |  -0.958286353492063
1       |  SITTING       |  tGravityAcc.mean...X       |  0.926754419365079
1       |  SITTING       |  tGravityAcc.mean...Y       |  -0.0245644109816508
1       |  SITTING       |  tGravityAcc.mean...Z       |  0.194667894650794
1       |  SITTING       |  tGravityAcc.std...X       |  -0.981345146190476
1       |  SITTING       |  tGravityAcc.std...Y       |  -0.957517994761905
1       |  SITTING       |  tGravityAcc.std...Z       |  -0.95622891968254
1       |  SITTING       |  tGravityAccMag.mean..       |  -0.966884123492064
1       |  SITTING       |  tGravityAccMag.std..       |  -0.953041961904762
1       |  STANDING       |  angle.X.gravityMean.       |  -0.68682761195122
1       |  STANDING       |  angle.Y.gravityMean.       |  0.269280005365854
1       |  STANDING       |  angle.Z.gravityMean.       |  -0.0851419745304878
1       |  STANDING       |  angle.tBodyAccJerkMean..gravityMean.       |  0.0211551608843902
1       |  STANDING       |  angle.tBodyAccMean.gravity.       |  -0.00410105160243903
1       |  STANDING       |  angle.tBodyGyroJerkMean.gravityMean.       |  0.0996228514390244
1       |  STANDING       |  angle.tBodyGyroMean.gravityMean.       |  0.0274508787402439
1       |  STANDING       |  fBodyAcc.mean...X       |  -0.981220117926829
1       |  STANDING       |  fBodyAcc.mean...Y       |  -0.943593063658537
1       |  STANDING       |  fBodyAcc.mean...Z       |  -0.951172404390244
1       |  STANDING       |  fBodyAcc.meanFreq...X       |  0.0865513812721951
1       |  STANDING       |  fBodyAcc.meanFreq...Y       |  0.00721355873890244
1       |  STANDING       |  fBodyAcc.meanFreq...Z       |  0.0516564864597561
1       |  STANDING       |  fBodyAcc.std...X       |  -0.987128725853659
1       |  STANDING       |  fBodyAcc.std...Y       |  -0.935687763658537
1       |  STANDING       |  fBodyAcc.std...Z       |  -0.925095835365854
1       |  STANDING       |  fBodyAccJerk.mean...X       |  -0.977878543170732
1       |  STANDING       |  fBodyAccJerk.mean...Y       |  -0.962504521097561
1       |  STANDING       |  fBodyAccJerk.mean...Z       |  -0.976283085731707
1       |  STANDING       |  fBodyAccJerk.meanFreq...X       |  0.307982813829268
1       |  STANDING       |  fBodyAccJerk.meanFreq...Y       |  -0.0797164876317073
1       |  STANDING       |  fBodyAccJerk.meanFreq...Z       |  0.0519269753060976
1       |  STANDING       |  fBodyAccJerk.std...X       |  -0.98060567304878
1       |  STANDING       |  fBodyAccJerk.std...Y       |  -0.966268084878049
1       |  STANDING       |  fBodyAccJerk.std...Z       |  -0.981982307195122
1       |  STANDING       |  fBodyAccMag.mean..       |  -0.952416237804878
1       |  STANDING       |  fBodyAccMag.meanFreq..       |  0.0446363334536585
1       |  STANDING       |  fBodyAccMag.std..       |  -0.944043882195122
1       |  STANDING       |  fBodyBodyAccJerkMag.mean..       |  -0.971570401829268
1       |  STANDING       |  fBodyBodyAccJerkMag.meanFreq..       |  0.278962377839024
1       |  STANDING       |  fBodyBodyAccJerkMag.std..       |  -0.971080059756098
1       |  STANDING       |  fBodyBodyGyroJerkMag.mean..       |  -0.974633746585366
1       |  STANDING       |  fBodyBodyGyroJerkMag.meanFreq..       |  0.138238850414634
1       |  STANDING       |  fBodyBodyGyroJerkMag.std..       |  -0.975178186097561
1       |  STANDING       |  fBodyBodyGyroMag.mean..       |  -0.945147761829268
1       |  STANDING       |  fBodyBodyGyroMag.meanFreq..       |  -0.148814349796341
1       |  STANDING       |  fBodyBodyGyroMag.std..       |  -0.932054063170732
1       |  STANDING       |  fBodyGyro.mean...X       |  -0.943202085609756
1       |  STANDING       |  fBodyGyro.mean...Y       |  -0.96780865804878
1       |  STANDING       |  fBodyGyro.mean...Z       |  -0.949540942195122
1       |  STANDING       |  fBodyGyro.meanFreq...X       |  -0.169661371132927
1       |  STANDING       |  fBodyGyro.meanFreq...Y       |  -0.2451946736
1       |  STANDING       |  fBodyGyro.meanFreq...Z       |  -0.0687656172880488
1       |  STANDING       |  fBodyGyro.std...X       |  -0.949998951829268
1       |  STANDING       |  fBodyGyro.std...Y       |  -0.963967396951219
1       |  STANDING       |  fBodyGyro.std...Z       |  -0.955834934878049
1       |  STANDING       |  tBodyAcc.mean...X       |  0.277685027926829
1       |  STANDING       |  tBodyAcc.mean...Y       |  -0.0173270487231707
1       |  STANDING       |  tBodyAcc.mean...Z       |  -0.103584368487805
1       |  STANDING       |  tBodyAcc.std...X       |  -0.985094464268293
1       |  STANDING       |  tBodyAcc.std...Y       |  -0.936058416707317
1       |  STANDING       |  tBodyAcc.std...Z       |  -0.930608664146341
1       |  STANDING       |  tBodyAccJerk.mean...X       |  0.0744857463780488
1       |  STANDING       |  tBodyAccJerk.mean...Y       |  0.00740893188581707
1       |  STANDING       |  tBodyAccJerk.mean...Z       |  -0.0140488787923171
1       |  STANDING       |  tBodyAccJerk.std...X       |  -0.978168694512195
1       |  STANDING       |  tBodyAccJerk.std...Y       |  -0.96289370695122
1       |  STANDING       |  tBodyAccJerk.std...Z       |  -0.979774944268293
1       |  STANDING       |  tBodyAccJerkMag.mean..       |  -0.975742745487805
1       |  STANDING       |  tBodyAccJerkMag.std..       |  -0.971786669878049
1       |  STANDING       |  tBodyAccMag.mean..       |  -0.950476994512195
1       |  STANDING       |  tBodyAccMag.std..       |  -0.941123374146342
1       |  STANDING       |  tBodyGyro.mean...X       |  -0.0257471496810976
1       |  STANDING       |  tBodyGyro.mean...Y       |  -0.0807674855487805
1       |  STANDING       |  tBodyGyro.mean...Z       |  0.0887407954707317
1       |  STANDING       |  tBodyGyro.std...X       |  -0.94788029804878
1       |  STANDING       |  tBodyGyro.std...Y       |  -0.965163190243902
1       |  STANDING       |  tBodyGyro.std...Z       |  -0.950714536829268
1       |  STANDING       |  tBodyGyroJerk.mean...X       |  -0.105952137963415
1       |  STANDING       |  tBodyGyroJerk.mean...Y       |  -0.0426317456414634
1       |  STANDING       |  tBodyGyroJerk.mean...Z       |  -0.055322505297561
1       |  STANDING       |  tBodyGyroJerk.std...X       |  -0.970091198170732
1       |  STANDING       |  tBodyGyroJerk.std...Y       |  -0.981305279268293
1       |  STANDING       |  tBodyGyroJerk.std...Z       |  -0.970915464634146
1       |  STANDING       |  tBodyGyroJerkMag.mean..       |  -0.979204140487805
1       |  STANDING       |  tBodyGyroJerkMag.std..       |  -0.974150911341463
1       |  STANDING       |  tBodyGyroMag.mean..       |  -0.942289912926829
1       |  STANDING       |  tBodyGyroMag.std..       |  -0.929576602073171
1       |  STANDING       |  tGravityAcc.mean...X       |  0.91492610402439
1       |  STANDING       |  tGravityAcc.mean...Y       |  -0.270195977731707
1       |  STANDING       |  tGravityAcc.mean...Z       |  0.153688961756098
1       |  STANDING       |  tGravityAcc.std...X       |  -0.98493781597561
1       |  STANDING       |  tGravityAcc.std...Y       |  -0.96259806
1       |  STANDING       |  tGravityAcc.std...Z       |  -0.930014706646341
1       |  STANDING       |  tGravityAccMag.mean..       |  -0.950476994512195
1       |  STANDING       |  tGravityAccMag.std..       |  -0.941123374146342
1       |  WALKING       |  angle.X.gravityMean.       |  -0.66195998
1       |  WALKING       |  angle.Y.gravityMean.       |  0.321443011864407
1       |  WALKING       |  angle.Z.gravityMean.       |  -0.0368892833067797
1       |  WALKING       |  angle.tBodyAccJerkMean..gravityMean.       |  0.0534005800847458
1       |  WALKING       |  angle.tBodyAccMean.gravity.       |  -0.0301017378813559
1       |  WALKING       |  angle.tBodyGyroJerkMean.gravityMean.       |  -0.0858470827457627
1       |  WALKING       |  angle.tBodyGyroMean.gravityMean.       |  0.0216196774508475
1       |  WALKING       |  fBodyAcc.mean...X       |  -0.346048161016949
1       |  WALKING       |  fBodyAcc.mean...Y       |  -0.0219048103322034
1       |  WALKING       |  fBodyAcc.mean...Z       |  -0.453806369830508
1       |  WALKING       |  fBodyAcc.meanFreq...X       |  -0.14579548970339
1       |  WALKING       |  fBodyAcc.meanFreq...Y       |  0.198586466508475
1       |  WALKING       |  fBodyAcc.meanFreq...Z       |  0.0688995208186441
1       |  WALKING       |  fBodyAcc.std...X       |  -0.457651383728814
1       |  WALKING       |  fBodyAcc.std...Y       |  -0.16921968620339
1       |  WALKING       |  fBodyAcc.std...Z       |  -0.455222146440678
1       |  WALKING       |  fBodyAccJerk.mean...X       |  -0.304615322881356
1       |  WALKING       |  fBodyAccJerk.mean...Y       |  -0.0787640836610169
1       |  WALKING       |  fBodyAccJerk.mean...Z       |  -0.554956709661017
1       |  WALKING       |  fBodyAccJerk.meanFreq...X       |  -0.0727101584479661
1       |  WALKING       |  fBodyAccJerk.meanFreq...Y       |  -0.263574018186441
1       |  WALKING       |  fBodyAccJerk.meanFreq...Z       |  -0.254846438755932
1       |  WALKING       |  fBodyAccJerk.std...X       |  -0.31431306340678
1       |  WALKING       |  fBodyAccJerk.std...Y       |  -0.0153329520084746
1       |  WALKING       |  fBodyAccJerk.std...Z       |  -0.615898188474576
1       |  WALKING       |  fBodyAccMag.mean..       |  -0.324289427932203
1       |  WALKING       |  fBodyAccMag.meanFreq..       |  0.393206208305085
1       |  WALKING       |  fBodyAccMag.std..       |  -0.577105211694915
1       |  WALKING       |  fBodyBodyAccJerkMag.mean..       |  -0.169064352813559
1       |  WALKING       |  fBodyBodyAccJerkMag.meanFreq..       |  0.20750092670339
1       |  WALKING       |  fBodyBodyAccJerkMag.std..       |  -0.164091969449153
1       |  WALKING       |  fBodyBodyGyroJerkMag.mean..       |  -0.583249293389831
1       |  WALKING       |  fBodyBodyGyroJerkMag.meanFreq..       |  0.126344614439492
1       |  WALKING       |  fBodyBodyGyroJerkMag.std..       |  -0.558104554745763
1       |  WALKING       |  fBodyBodyGyroMag.mean..       |  -0.530704814745763
1       |  WALKING       |  fBodyBodyGyroMag.meanFreq..       |  0.305283825254237
1       |  WALKING       |  fBodyBodyGyroMag.std..       |  -0.651792839661017
1       |  WALKING       |  fBodyGyro.mean...X       |  -0.429713536101695
1       |  WALKING       |  fBodyGyro.mean...Y       |  -0.55477211220339
1       |  WALKING       |  fBodyGyro.mean...Z       |  -0.396659907457627
1       |  WALKING       |  fBodyGyro.meanFreq...X       |  0.00727967988474576
1       |  WALKING       |  fBodyGyro.meanFreq...Y       |  -0.0427009322372881
1       |  WALKING       |  fBodyGyro.meanFreq...Z       |  0.139752115269492
1       |  WALKING       |  fBodyGyro.std...X       |  -0.604053019152542
1       |  WALKING       |  fBodyGyro.std...Y       |  -0.533046952542373
1       |  WALKING       |  fBodyGyro.std...Z       |  -0.559856635084746
1       |  WALKING       |  tBodyAcc.mean...X       |  0.276426586440678
1       |  WALKING       |  tBodyAcc.mean...Y       |  -0.0185949199145763
1       |  WALKING       |  tBodyAcc.mean...Z       |  -0.105500357966102
1       |  WALKING       |  tBodyAcc.std...X       |  -0.423642838474576
1       |  WALKING       |  tBodyAcc.std...Y       |  -0.0780912533118644
1       |  WALKING       |  tBodyAcc.std...Z       |  -0.425257524915254
1       |  WALKING       |  tBodyAccJerk.mean...X       |  0.0618080696279661
1       |  WALKING       |  tBodyAccJerk.mean...Y       |  0.0182492679288136
1       |  WALKING       |  tBodyAccJerk.mean...Z       |  0.00789533706610169
1       |  WALKING       |  tBodyAccJerk.std...X       |  -0.277530462620339
1       |  WALKING       |  tBodyAccJerk.std...Y       |  -0.0166022362847458
1       |  WALKING       |  tBodyAccJerk.std...Z       |  -0.586090418983051
1       |  WALKING       |  tBodyAccJerkMag.mean..       |  -0.281424153881356
1       |  WALKING       |  tBodyAccJerkMag.std..       |  -0.164150985127119
1       |  WALKING       |  tBodyAccMag.mean..       |  -0.290407593728814
1       |  WALKING       |  tBodyAccMag.std..       |  -0.422544169322034
1       |  WALKING       |  tBodyGyro.mean...X       |  -0.0530258157347458
1       |  WALKING       |  tBodyGyro.mean...Y       |  -0.0482382316949153
1       |  WALKING       |  tBodyGyro.mean...Z       |  0.0828336633220339
1       |  WALKING       |  tBodyGyro.std...X       |  -0.561550255762712
1       |  WALKING       |  tBodyGyro.std...Y       |  -0.53845366779661
1       |  WALKING       |  tBodyGyro.std...Z       |  -0.481085535084746
1       |  WALKING       |  tBodyGyroJerk.mean...X       |  -0.0818833429152542
1       |  WALKING       |  tBodyGyroJerk.mean...Y       |  -0.0538299449067797
1       |  WALKING       |  tBodyGyroJerk.mean...Z       |  -0.0514939156830508
1       |  WALKING       |  tBodyGyroJerk.std...X       |  -0.389549831525424
1       |  WALKING       |  tBodyGyroJerk.std...Y       |  -0.634140436101695
1       |  WALKING       |  tBodyGyroJerk.std...Z       |  -0.435492677288136
1       |  WALKING       |  tBodyGyroJerkMag.mean..       |  -0.547911950338983
1       |  WALKING       |  tBodyGyroJerkMag.std..       |  -0.557798151355932
1       |  WALKING       |  tBodyGyroMag.mean..       |  -0.446549092881356
1       |  WALKING       |  tBodyGyroMag.std..       |  -0.553019916271186
1       |  WALKING       |  tGravityAcc.mean...X       |  0.91301733338983
1       |  WALKING       |  tGravityAcc.mean...Y       |  -0.34660709
1       |  WALKING       |  tGravityAcc.mean...Z       |  0.0847270871186441
1       |  WALKING       |  tGravityAcc.std...X       |  -0.972693201355932
1       |  WALKING       |  tGravityAcc.std...Y       |  -0.972116879661017
1       |  WALKING       |  tGravityAcc.std...Z       |  -0.972072847627119
1       |  WALKING       |  tGravityAccMag.mean..       |  -0.290407593728814
1       |  WALKING       |  tGravityAccMag.std..       |  -0.422544169322034
1       |  WALKING_DOWNSTAIRS       |  angle.X.gravityMean.       |  -0.624985569787234
1       |  WALKING_DOWNSTAIRS       |  angle.Y.gravityMean.       |  0.311800312978723
1       |  WALKING_DOWNSTAIRS       |  angle.Z.gravityMean.       |  0.0537293985574468
1       |  WALKING_DOWNSTAIRS       |  angle.tBodyAccJerkMean..gravityMean.       |  -0.00637550521276596
1       |  WALKING_DOWNSTAIRS       |  angle.tBodyAccMean.gravity.       |  -0.0243291092914894
1       |  WALKING_DOWNSTAIRS       |  angle.tBodyGyroJerkMean.gravityMean.       |  -0.073580298587234
1       |  WALKING_DOWNSTAIRS       |  angle.tBodyGyroMean.gravityMean.       |  0.366551180212766
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.mean...X       |  0.112841160325532
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.mean...Y       |  0.278345041765957
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.mean...Z       |  -0.131290772
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.meanFreq...X       |  -0.273711609659574
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.meanFreq...Y       |  0.0119309606468085
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.meanFreq...Z       |  0.0903678546504255
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.std...X       |  0.0161046198595745
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.std...Y       |  0.171973972957447
1       |  WALKING_DOWNSTAIRS       |  fBodyAcc.std...Z       |  -0.162032894287234
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.mean...X       |  0.138120681087234
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.mean...Y       |  0.0962091607617021
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.mean...Z       |  -0.271498721106383
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.meanFreq...X       |  -0.143898149531915
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.meanFreq...Y       |  -0.357514501744681
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.meanFreq...Z       |  -0.234703932446809
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.std...X       |  0.0499590624829787
1       |  WALKING_DOWNSTAIRS       |  fBodyAccJerk.std...Y       |  0.0808333491276596
